MONTH,ARRESTTIME,AGE,GENDER,RACE,INCIDENTNEIGHBORHOOD,INCIDENTZONE,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTTRACT
12,2020-12-30T17:02:00,36,F,B,South Side Flats,3,3,3,-79.97643264,40.43034081,"1200 Block Brownsville RD Pittsburgh, PA 15210",903 Criminal Conspiracy. / 3925 Receiving Stolen Property. / 4105(a)(1) Bad Checks / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,"2000 Block Wharton ST Pittsburgh, PA 15203",1702
12,2020-12-30T16:30:00,47,F,W,Carrick,3,4,3,-79.98660985,40.39133921,"Brownsville RD & Parkfield ST Pittsburgh, PA 15210",3802(a)(1) DUI - General Impairment,"Brownsville RD & Parkfield ST Pittsburgh, PA 15210",2901
12,2020-12-30T16:25:00,23,F,B,South Side Flats,3,3,3,-79.98529344,40.42766675,"600 Block 1st AV Pittsburgh, PA 15219",1786 Required Financial Responsibility. / 3714 Careless Driving / 3743 Accidents Involving Damage to Attended Veh. or Property,"Sarah ST & S 13th ST Pittsburgh, PA 15203",1702
12,2020-12-30T15:48:00,32,M,O,Central North Side,1,1,1,-80.01479918,40.45463672,"1200 Block Brighton RD Pittsburgh, PA 15233","13(a)(32) Paraphernalia - Use or Possession / 3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise","1200 Block Brighton RD Pittsburgh, PA 15233",2206
12,2020-12-30T13:49:00,58,F,B,Highland Park,5,7,2,-79.92829212,40.47331584,"5500 Block Jackson ST Pittsburgh, PA 15206",2701 Simple Assault. / 2706 Terroristic Threats.,"5500 Block Jackson ST Pittsburgh, PA 15206",1102
12,2020-12-30T08:30:00,28,F,W,Shadyside,4,8,2,-79.93043785,40.45585757,"600 Block 1st AV Pittsburgh, PA 15219",2701 Simple Assault.,"5800 Block Ellsworth AV Pittsburgh, PA 15232",705
12,2020-12-30T05:05:00,43,F,W,Bluff,2,6,6,-79.99335582,40.43877246,"900 Block 2ND AV Pittsburgh, PA 15219",9015 Failure To Appear/Arrest on Attachment Order,"700 Block 5th AV Pittsburgh, PA 15219",103
12,2020-12-30T01:52:00,30,M,B,Bluff,2,4,5,-79.99427292,40.39115347,"900 Block Second AV Pittsburgh, PA 15219",9015 Failure To Appear/Arrest on Attachment Order,"2100 Block Watson ST Pittsburgh, PA 15219",103
12,2020-12-30T00:46:00,45,M,W,Allegheny Center,1,1,1,-80.00644109,40.45386637,"North Commons & Federal ST N Pittsburgh, PA 15212",3111 Obedience to Traffic-Control Devices. / 3112 Traffic-Control Signals. / 13(a)(32) Paraphernalia - Use or Possession / 3802(d)(1)(iii) DUI - Metabolite of Controlled Substance / 3802(d)(2) DUI - Drug - Impaired Ability,"North Commons & Federal ST Pittsburgh, PA 15212",2204
12,2020-12-29T22:05:00,47,F,W,Garfield,5,9,2,-79.9382302,40.46587069,"600 Block 1st AV Pittsburgh, PA 15219",9015 Failure To Appear/Arrest on Attachment Order,"5300 Block Broad ST Pittsburgh, PA 15224",1017
12,2020-12-29T19:36:00,39,M,B,East Allegheny,1,1,1,-80.0009078,40.45089356,"300 Block Cedar AV Pittsburgh, PA 15212",3929 Retail Theft.,"300 Block Cedar AV Pittsburgh, PA 15212",2304
12,2020-12-29T19:10:00,57,M,W,Garfield,5,9,2,-79.93781276,40.46737688,"5300 Block Rosetta ST Pittsburgh, PA 15224",9093 Indirect Criminal Contempt,"5300 Block Rosetta ST Pittsburgh, PA 15224",1017
12,2020-12-29T19:10:00,47,F,W,Garfield,5,9,2,-79.93781276,40.46737688,"5300 Block Rosetta ST Pittsburgh, PA 15224",9501 Bench Warrant,"5300 Block Rosetta ST Pittsburgh, PA 15224",1017
12,2020-12-29T16:51:00,30,F,W,Lincoln-Lemington-Belmar,5,9,2,-79.89846635,40.47323214,"100 Block Bausman ST Pittsburgh, PA 15210",3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition.,"6900 Block Churchland ST Pittsburgh, PA 15206",1201
12,2020-12-29T16:14:00,27,M,W,Perry North,1,1,1,-80.02219544,40.49176928,"600 Block 1ST AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"Vinceton ST & Wabana ST Pittsburgh, PA 15214",2602
12,2020-12-29T13:55:00,31,M,W,Troy Hill,1,1,1,-79.99203401,40.45853706,"1100 Block Brabec ST Pittsburgh, PA 15212",2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person.,"1100 Block Brabec ST Pittsburgh, PA 15212",2406
12,2020-12-29T13:30:00,32,M,B,Spring Hill-City View,1,1,1,-79.99204185,40.46535965,"600 Block 1st AV Pittsburgh, PA 15219","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 2707.1 Discharge of a Firearm into Occupied Structure","100 Block Rhine PL Pittsburgh, PA 15212",2620
12,2020-12-29T13:20:00,35,F,B,Central Business District,2,6,6,-79.99945507,40.44165871,"600 Block 1st AV Pittsburgh, PA 15222",903 Criminal Conspiracy. / 5501 Riot. / 5507 Obstructing Highways and Passages. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,"300 Block 6th AV Pittsburgh, PA 15222",201
12,2020-12-29T13:07:00,56,F,B,Knoxville,3,3,5,-79.99146313,40.41352041,"100 Block Giffin AV Pittsburgh, PA 15210",2702 Aggravated Assault.,"100 Block Redlyn ST Pittsburgh, PA 15210",3001
12,2020-12-29T11:46:00,50,M,W,Bon Air,3,4,5,-79.99726953,40.40559346,"400 Block Drycove ST Pittsburgh, PA 15210","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2709(a)(4) Harassment Communicates Prohibited Acts / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF","400 Block Drycove ST Pittsburgh, PA 15210",1806
12,2020-12-29T02:45:00,21,M,W,Central Business District,2,6,6,-79.99811947,40.44034004,"500 Block Smithfield ST Pittsburgh, PA 15222",2701 Simple Assault. / 2706 Terroristic Threats. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,"500 Block Smithfield ST Pittsburgh, PA 15222",201
12,2020-12-28T20:57:00,30,M,B,Crawford-Roberts,2,6,3,-79.98072577,40.43905499,"Dinwiddie ST & Colwell THWY Pittsburgh, PA 15219",1311 Registration Card to be Signed and Exhibited on Demand. / 1511 Carrying and Exhibiting Driver's License on Demand. / 1786 Required Financial Responsibility. / 4524 Windshield Obstructions and Wipers. / 9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities,"Dinwiddie ST & Colwell ST Pittsburgh, PA 15219",305
12,2020-12-28T19:44:00,38,F,W,Squirrel Hill South,4,5,3,-79.92983775,40.43072512,"5500 Block Phillips AV Pittsburgh, PA 15217",9501 Bench Warrant,"5500 Block Phillips AV Pittsburgh, PA 15217",1413
12,2020-12-28T18:39:00,31,M,W,East Allegheny,1,1,1,-80.00050252,40.45174744,"Pressley ST & Moravian WY Pittsburgh, AZ 15212",13(a)(30) Possession w/ Intent to Del. Controlled Substance,"Pressley ST & Moravian WY Pittsburgh, AZ 15212",2304
12,2020-12-28T16:15:00,32,F,W,Bloomfield,5,7,2,-79.94946752,40.46573872,"4600 Block Penn AV Pittsburgh, PA 15224",3802(a)(1) DUI - General Impairment,"4600 Block Penn AV Pittsburgh, PA 15224",903
12,2020-12-28T15:25:00,29,M,W,East Allegheny,1,1,1,-80.00090979,40.45086494,"N Canal ST & Cedar AV Pittsburgh, PA 15212",9501 Bench Warrant,"N Canal ST & Cedar AV Pittsburgh, PA 15212",2304
12,2020-12-28T15:11:00,51,M,B,South Side Flats,3,3,3,-79.97643264,40.43034081,"2000 Block Wharton ST Pittsburgh, PA 15203",3929 Retail Theft. / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,"2000 Block Wharton ST Pittsburgh, PA 15203",1702
12,2020-12-28T13:00:00,35,M,W,Marshall-Shadeland,1,1,1,-80.02702914,40.47179514,"1200 Block Western AV Pittsburgh, PA 15233",903 Criminal Conspiracy. / 3701 Robbery. / 3925 Receiving Stolen Property. / 9501 Bench Warrant,"2900 Block Brighton RD Pittsburgh, PA 15212",2715
12,2020-12-28T13:00:00,31,F,W,Marshall-Shadeland,1,1,1,-80.02702914,40.47179514,"1200 Block Western AV Pittsburgh, PA 15233",3701 Robbery. / 3925 Receiving Stolen Property. / 1543 Driving While Operating Privilege is Suspended or Revoked.,"2900 Block Brighton RD Pittsburgh, PA 15212",2715
12,2020-12-28T12:20:00,57,M,W,Allentown,3,3,5,-79.9947695,40.42129447,"3600 Block Middelboro RD Pittsburgh, PA 15234",2701 Simple Assault.,"Manton WY & Walter ST Pittsburgh, PA 15210",1803
12,2020-12-28T11:50:00,27,M,B,Homewood North,5,9,2,-79.89967697,40.46179885,"Crane AV & Lowenhill ST Pittsburgh, PA 15216",2706 Terroristic Threats.,"7000 Block Kedron ST Pittsburgh, PA 15208",1301
12,2020-12-28T11:00:00,39,M,B,Knoxville,3,3,5,-79.99515279,40.41200604,"900 Block 2ND AV Pittsburgh, PA 15219",3921 Theft by Unlawful Taking or Disposition.,"400 Block Moore AV Pittsburgh, PA 15210",3001
12,2020-12-28T08:30:00,55,M,B,Central North Side,1,6,1,-80.01707307,40.45966333,"600 Block 1st AV Pittsburgh, PA 15219",1786 Required Financial Responsibility. / 3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid,"Brighton RD & California AV Pittsburgh, PA 15212",2503
12,2020-12-28T02:20:00,27,F,B,Perry North,1,1,1,-80.02180084,40.49278683,"Bascom ST & Perrysville AV Pittsburgh, PA 15214",1543 Driving While Operating Privilege is Suspended or Revoked. / 3309 Driving on Roadways Laned for Traffic. / 3802(a)(1) DUI - General Impairment,"Bascom ST & Perrysville AV Pittsburgh, PA 15214",2602
12,2020-12-27T22:40:00,46,F,W,Brookline,6,4,5,-80.0141746,40.38809563,"1300 Block Berkshire AV Pittsburgh, PA 15226",2701 Simple Assault.,"1300 Block Berkshire AV Pittsburgh, PA 15226",1918
12,2020-12-27T20:30:00,28,F,B,East Liberty,5,9,2,-79.92891893,40.47143626,"5500 Block Baywood ST Pittsburgh, PA 15206",2702 Aggravated Assault. / 9093 Indirect Criminal Contempt,"5500 Block Baywood ST Pittsburgh, PA 15206",1113
12,2020-12-27T11:00:00,33,M,B,Sheraden,6,2,5,-80.05785055,40.45291887,"900 Block Chetopa ST Pittsburgh, PA 15204",9501 Bench Warrant,"900 Block Chetopa ST Pittsburgh, PA 15204",2022
12,2020-12-27T04:00:00,32,M,B,East Hills,5,9,2,-79.87857777,40.44991963,"900 Block 2nd AV Pittsburgh, PA 15219",2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,"500 Block Seagirt ST Pittsburgh, PA 15221",1306
12,2020-12-27T02:40:00,24,M,B,Spring Hill-City View,1,1,1,-79.9936802,40.46662473,"2100 Block Rhine ST Pittsburgh, PA 15212",2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,"2100 Block Rhine ST Pittsburgh, PA 15212",2620
12,2020-12-27T00:54:00,34,F,B,Sheraden,6,2,5,-80.05271355,40.45672681,"3000 Block Glen Mawr ST Pittsburgh, PA 15204",2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children.,"3000 Block Glen Mawr ST Pittsburgh, PA 15204",2018
12,2020-12-27T00:47:00,24,M,B,Carrick,3,4,3,-79.99402183,40.40272271,"200 Block Nobles LANE Pittsburgh, PA 15210","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","200 Block Nobles LANE Pittsburgh, PA 15210",2901
12,2020-12-27T00:25:00,32,M,W,Beechview,6,4,5,-80.01707866,40.41412352,"900 Block sECOND AV Pittsburgh, PA 15219",3701 Robbery. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,"1300 Block Lettie Hill ST Pittsburgh, PA 15216",1916
12,2020-12-26T19:57:00,27,M,B,Banksville,6,2,5,-80.04087197,40.40332759,"600 Block 1st AV Pittsburgh, PA 15219",1543 Driving While Operating Privilege is Suspended or Revoked. / 1786 Required Financial Responsibility. / 3743 Accidents Involving Damage to Attended Veh. or Property,"Potomac AV & Banksville RD Pittsburgh, PA 15216",2023
12,2020-12-26T19:34:00,35,M,B,Central Business District,2,6,6,-80.00640882,40.44174089,"600 Block Commonwealth PL Pittsburgh, PA 15222",3503 Criminal Trespass,"600 Block Commonwealth PL Pittsburgh, PA 15222",201
12,2020-12-26T18:34:00,24,M,B,Crafton Heights,6,2,5,-80.05238897,40.44580307,"1000 Block Woodlow ST Pittsburgh, PA 15205",2701 Simple Assault.,"1000 Block Woodlow ST Pittsburgh, PA 15205",2814
12,2020-12-26T17:59:00,24,F,B,Sheraden,6,2,5,-80.06221491,40.45674155,"3300 Block Allendale ST Pittsburgh, PA 15204","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","3300 Block Allendale ST Pittsburgh, PA 15204",2022
12,2020-12-26T17:15:00,43,M,B,Lincoln-Lemington-Belmar,5,9,2,-79.90453848,40.46511828,"6600 Block Rowan ST Pittsburgh, PA 15206",9501 Bench Warrant / 13(a)(31) Marijuana: Possession Small Amount,"6600 Block Rowan ST Pittsburgh, PA 15206",1203
12,2020-12-26T16:28:00,34,M,B,Central Business District,2,3,3,-79.98767554,40.4289675,"900 Block 2nd AV Pittsburgh, PA 15219",3921(a) Theft by Unlawful Taking or Disposition - Movable item,"50 Block 11th ST Pittsburgh, PA 15222",201
12,2020-12-26T15:56:00,20,M,B,Larimer,5,9,2,-79.91682074,40.46480661,"Meadow ST & Larimer AV Pittsburgh, PA 15206",9093 Indirect Criminal Contempt,"40 Block Mayflower ST Pittsburgh, PA 15206",1208
12,2020-12-26T11:35:00,42,F,B,Lincoln Place,4,5,3,-79.91770093,40.36786572,"5600 Block Cox AV Pittsburgh, PA 15207","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck","5600 Block Cox AV Pittsburgh, PA 15207",3102
12,2020-12-26T04:30:00,27,M,B,Homewood North,5,9,2,-79.89809454,40.45903049,"900 Block 2nd AV Pittsburgh, PA 15219",3334 Turning Movements and Required Signals. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 7512 Criminal Use of Communication,"N Lang AV & Fielding WY Pittsburgh, PA 15208",1301
12,2020-12-26T01:00:00,23,F,B,Hazelwood,4,5,3,-79.93736389,40.4055152,"600 Block 1st AV Pittsburgh, PA 15219","2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats","500 Block Johnston AV Pittsburgh, PA 15207",1515
12,2020-12-25T21:00:00,27,M,W,Bloomfield,5,7,2,-79.94761628,40.45994397,"600 Block 1st AV Pittsburgh, PA 15219",2705 Recklessy Endangering Another Person. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,"500 Block S Mathilda ST Pittsburgh, PA 15224",802
12,2020-12-25T19:02:00,36,F,W,Northview Heights,1,1,1,-80.00164753,40.47712209,"100 Block Hazlett ST Pittsburgh, PA 15214",2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children.,"100 Block Hazlett ST Pittsburgh, PA 15214",2609
12,2020-12-25T06:29:00,29,M,B,East Liberty,5,9,2,-79.9275024,40.46875774,"5500 Block Hays ST Pittsburgh, PA 15206",13(a)(31) Marijuana: Possession Small Amount,"N Negley AV & Black ST Pittsburgh, PA 15206",1113
12,2020-12-25T05:30:00,33,F,B,Brighton Heights,1,1,1,-80.03757201,40.47530223,"1600 Block Antrim ST Pittsburgh, PA 15212",2701 Simple Assault.,"1600 Block Antrim ST Pittsburgh, PA 15212",2703
12,2020-12-25T01:10:00,35,M,B,Elliott,6,2,5,-80.03821324,40.44424695,"900 Block 2ND AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 7512 Criminal Use of Communication,"900 Block Gibson ST Pittsburgh, PA 15220",2020
12,2020-12-24T20:04:00,36,M,B,East Allegheny,1,1,1,-80.0001221,40.45268089,"500 Block Lockhart ST Pittsburgh, PA 15212",2701 Simple Assault.,"500 Block Lockhart ST Pittsburgh, PA 15212",2304
12,2020-12-24T17:19:00,39,M,B,Perry North,1,1,1,-80.00912032,40.47970646,"900 Block Second AV Pittsburgh, PA 15219",3502 Burglary.,"80 Block Watson BL Pittsburgh, PA 15214",2607
12,2020-12-24T13:55:00,48,F,B,Lincoln-Lemington-Belmar,5,9,2,-79.89235295,40.4861185,"900 Block Second AV Pittsburgh, PA 15219",3929 Retail Theft.,"900 Block Freeport RD Pittsburgh, PA 15238",1201
12,2020-12-24T10:40:00,29,M,W,Central Business District,2,6,6,-79.99740883,40.44153322,"600 Block 1st AV Pittsburgh, PA 15219",3929 Retail Theft.,"600 Block Smithfield ST Pittsburgh, PA 15222",201
12,2020-12-24T01:34:00,33,M,W,Beechview,6,4,5,-80.0257355,40.40776434,"1800 Block Broadway AV Pittsburgh, PA 15216",9093 Indirect Criminal Contempt,"1800 Block Broadway AV Pittsburgh, PA 15216",1916
12,2020-12-24T01:30:00,33,F,W,South Side Slopes,3,3,3,-79.99678963,40.42820232,"600 Block 1st AV Pittsburgh, PA 15219",3802(a)(1) DUI - General Impairment,"Arlington AV & William ST Pittsburgh, PA 15203",1706
12,2020-12-23T20:55:00,26,M,B,Homewood South,5,9,2,-79.89922777,40.45602783,"900 Block Second AV Pittsburgh, PA 15219",3925 Receiving Stolen Property. / 3934 Theft from Vehicle / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,"7100 Block Kelly ST Pittsburgh, PA 15208",1303
12,2020-12-23T19:40:00,26,M,W,Allegheny Center,1,1,1,-80.00374088,40.453142,"East Ohio ST & East Commons Pittsburgh, PA 15212",2701 Simple Assault. / 9501 Bench Warrant / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,"East Ohio ST & East Commons Pittsburgh, PA 15212",2204
12,2020-12-23T16:45:00,29,M,W,Central Business District,2,6,6,-79.99740883,40.44153322,"600 Block Smithfield ST Pittsburgh, PA 15222",3929 Retail Theft.,"600 Block Smithfield ST Pittsburgh, PA 15222",201
12,2020-12-23T16:00:00,30,F,W,Bloomfield,5,7,2,-79.94377599,40.45850945,"900 Block 2nd AV Pittsburgh, PA 15219",3921 Theft by Unlawful Taking or Disposition.,"5100 Block Liberty AV Pittsburgh, PA 15224",806
12,2020-12-23T15:43:00,20,M,B,Fineview,1,6,1,-80.00698339,40.46031055,"1700 Block Belleau DR Pittsburgh, PA 15212","2705 Recklessy Endangering Another Person. / 3502 Burglary. / 4910 Tampering with or Fabricating Physical Evidence. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License.","1700 Block Belleau DR Pittsburgh, PA 15212",2509
12,2020-12-23T15:28:00,20,F,B,Bluff,2,6,3,-79.97592199,40.43725965,"900 Block Second AV Pittsburgh, PA 15219",2706 Terroristic Threats.,"2100 Block Forbes AV Pittsburgh, PA 15219",103
12,2020-12-23T14:33:00,54,F,B,Crawford-Roberts,2,6,3,-79.98502509,40.4385396,"1500 Block 5th AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"1500 Block 5th AV Pittsburgh, PA 15219",305
12,2020-12-23T14:33:00,53,M,W,Crawford-Roberts,2,6,3,-79.98502509,40.4385396,"1500 Block 5th AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,"1500 Block 5th AV Pittsburgh, PA 15219",305
12,2020-12-23T12:59:00,41,M,W,Central Business District,2,6,6,-79.99945507,40.44165871,"300 Block 6th AV Pittsburgh, PA 15222","13(a)(16) Possession of Controlled Substance / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE","300 Block 6th AV Pittsburgh, PA 15222",201
12,2020-12-23T11:28:00,31,M,B,Beechview,6,4,5,-80.02036781,40.41203819,"Cape May AV & West Liberty AV Pittsburgh, PA 15226",2702 Aggravated Assault. / 4304(a)(1) Endangering Welfare of Children. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 7512 Criminal Use of Communication,"1500 Block Rockland AV Pittsburgh, PA 15216",1916
12,2020-12-23T10:40:00,38,F,W,Central Business District,2,6,6,-79.99945507,40.44165871,"600 Block 1st AV Pittsburgh, PA 15222",903 Criminal Conspiracy. / 5501 Riot. / 5507 Obstructing Highways and Passages. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,"300 Block 6th AV Pittsburgh, PA 15222",201
12,2020-12-23T10:34:00,20,F,B,Bluff,2,6,3,-79.97592199,40.43725965,"500 Block Pitt ST Pittsburgh, PA 15221","3503(a) Criminal Trespass / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","2100 Block Forbes AV Pittsburgh, PA 15219",103
12,2020-12-23T01:00:00,30,M,W,Greenfield,4,5,3,-79.93334229,40.42419809,"900 Block Greenfield AV Pittsburgh, PA 15217",9501 Bench Warrant,"900 Block Greenfield AV Pittsburgh, PA 15217",1517
12,2020-12-22T23:14:00,27,M,B,Central Business District,2,6,6,-79.99985637,40.44244575,"1400 Block Locust ST Pittsburgh, PA 15219",3304 Criminal Mischief. / 3502 Burglary. / 5501 Riot.,"700 Block Liberty AV Pittsburgh, PA 15222",201
12,2020-12-22T23:14:00,27,M,B,Central Business District,2,6,6,-80.00200266,40.44094536,"1400 Block Locust ST Pittsburgh, PA 15219",3304 Criminal Mischief.,"20 Block Market SQ Pittsburgh, PA 15222",201
12,2020-12-22T22:44:00,30,M,B,Banksville,6,2,5,-80.03027139,40.4199184,"1100 Block Banksville RD Pittsburgh, PA 15216",9136 Commitment to Await Requisition,"1100 Block Banksville RD Pittsburgh, PA 15216",2023
12,2020-12-22T20:49:00,30,M,W,Highland Park,5,7,2,-79.91093532,40.47430987,"6500 Block Stanton AV Pittsburgh, PA 15206",1543 Driving While Operating Privilege is Suspended or Revoked. / 3334 Turning Movements and Required Signals. / 13(a)(32) Paraphernalia - Use or Possession,"6500 Block Stanton AV Pittsburgh, PA 15206",1106
12,2020-12-22T20:49:00,26,F,O,Highland Park,5,7,2,-79.91093532,40.47430987,"6500 Block Stanton AV Pittsburgh, PA 15206",13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,"6500 Block Stanton AV Pittsburgh, PA 15206",1106
